,dictionary,id,label
350,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN251101467,STS-046
351,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN251101468,STS-047
352,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN251101461,STS-048
353,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN251101462,STS-049
354,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN1674697469,STS-005
355,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN252101468,STS-050
356,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN252101467,STS-051
357,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN529931025,STS-051A
358,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN529931028,STS-051B
359,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN529931027,STS-051C
360,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN529931030,STS-051D
362,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN529931032,STS-051F
363,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN529931031,STS-051G
364,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN529931033,STS-051I
365,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN529931036,STS-051J
366,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN529931038,STS-051L
367,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN252101466,STS-052
368,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN252101465,STS-053
369,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN252101472,STS-054
370,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN252101471,STS-055
371,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN252101470,STS-056
372,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN252101469,STS-057
373,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN252101460,STS-058
374,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN252101459,STS-059
376,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN253101447,STS-060
377,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN253101448,STS-061
378,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0II221448892,STS-061A
379,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0II221448895,STS-061B
380,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0II221448894,STS-061C
381,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN253101445,STS-062
382,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN253101446,STS-063
383,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN253101443,STS-064
384,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN253101444,STS-065
385,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN253101441,STS-066
386,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN253101442,STS-067
387,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN253101455,STS-068
388,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN253101456,STS-069
389,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN1674697471,STS-007
390,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN254101446,STS-070
391,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN254101445,STS-071
392,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN254101448,STS-072
393,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN254101447,STS-073
394,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN254101442,STS-074
395,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN254101441,STS-075
